username,seen,posted,ratio
@PiQSuite,748,4,0.0053
@lookonchain,442,11,0.0249
@unusual_whales,2337,7,0.0030
@StockMKTNewz,2689,3,0.0011
@BitcoinMagazine,246,3,0.0122
@TreeNewsFeed,11,1,0.0909
@blckchaindaily,46,0,0.0000
@TheBlock__,99,5,0.0505
@TheInsiderPaper,1080,6,0.0056
@CMEGroup,27,0,0.0000
@Crypto_Potato,301,0,0.0000
@ai_9684xtpa,9,0,0.0000
@Cointelegraph,2460,22,0.0089
@DecryptMedia,535,3,0.0056
@BitcoinArchive,721,9,0.0125
@binance,460,4,0.0087
@WuBlockchain,599,12,0.0200
@EricBalchunas,208,0,0.0000
@LunarStrategy,6,0,0.0000
@CoinDesk,359,5,0.0139
@BSCNheadlines,57,4,0.0702
@faststocknewss,104,1,0.0096
@cryptonews,391,6,0.0153
@CoinDeskData,7,1,0.1429
@coinspeaker,343,6,0.0175
@beincrypto,1309,4,0.0031
@JSeyff,109,0,0.0000
@Sino_Market,109,3,0.0275
@DBNewswire,25,0,0.0000
@WatcherGuru,96,1,0.0104
@DegenerateNews,61,0,0.0000
@CryptoSlate,399,4,0.0100
@FirstSquawk,15736,81,0.0051
@MarketRebels,359,0,0.0000
@whale_alert,1048,30,0.0286
@BitcoinNews,644,3,0.0047
@cryptounfolded,17,2,0.1176
@Blockworks_,1,0,0.0000
@Interest_Rates,8,0,0.0000
@financialjuice,3797,25,0.0066
@DeItaone,563,10,0.0178
@RedboxWire,117,2,0.0171
@SupplyShockBW,9,0,0.0000
@ForwardGuidance,36,0,0.0000
@ThruThePhog,30,0,0.0000
@Crypto_Crib_,7,0,0.0000
@rkbaggs,27,0,0.0000
@EconoStream,28,3,0.1071
@teslaownersSV,89,0,0.0000
@Vivek4real_,1,0,0.0000
@elonmusk,926,0,0.0000
@TrackFilings,833,0,0.0000
@nmswede,151,0,0.0000
@MarioNawfal,263,1,0.0038
@niccruzpatane,197,0,0.0000
@FilingTracker,377,1,0.0027
@brian_armstrong,398,1,0.0025
@XFreeze,5,0,0.0000
@iam_smx,1,0,0.0000
@Trade_The_News,28,0,0.0000
@cb_doge,97,0,0.0000
@APompliano,1,1,1.0000
@CryptoAmb,749,5,0.0067
@SpaceX,98,0,0.0000
@lyn_beatz,5,0,0.0000
@BitcoinConfEUR,74,0,0.0000
@Preda2005,125,0,0.0000
@stevenmarkryan,100,0,0.0000
@KallumPickering,30,0,0.0000
@MacroScope17,29,1,0.0345
@thebellcurvepod,25,0,0.0000
@CryptoAmerica_,96,0,0.0000
@Kalshi,82,0,0.0000
@NickTimiraos,36,1,0.0278
@cremieuxrecueil,38,0,0.0000
@RyanSAdams,48,0,0.0000
@AnthonySandford,52,0,0.0000
@tetsuoai,153,0,0.0000
@EleanorTerrett,72,0,0.0000
@thedefivillain,44,0,0.0000
@CryptoWinds1,103,0,0.0000
@ajoenamedjoe,71,0,0.0000
@mayanicks0x,83,0,0.0000
@hannah_ahn,18,0,0.0000
@justinsuntron,44,1,0.0227
@chaitu,32,0,0.0000
@gailalfaratx,42,0,0.0000
@skcd42,57,0,0.0000
@CoinDeskPodcast,24,0,0.0000
@Morning88104856,7,0,0.0000
@dvorahfr,19,0,0.0000
@paranoidream,37,0,0.0000
@razroo_chief,9,0,0.0000
@MidnightNtwrk,91,0,0.0000
@TimothySandefur,36,0,0.0000
@Limitlesss1,44,0,0.0000
@0xprivacypools,17,1,0.0588
@visegrad24,19,0,0.0000
@PolymarketMoney,20,1,0.0500
@Matt_Hougan,57,0,0.0000
@PepperstoneFX,31,1,0.0323
@MichaelDell,31,0,0.0000
@cz_binance,12,1,0.0833
@gazza_jenks,2,1,0.5000
